description,units,price_eu,unit_price,date,order_num,user,product_code
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-01-10,302316,user2,
refresco coca-cola zero azúcar,1,7.56,7.56,2020-01-10,302316,user2,
dentífrico triple acción colgate con flúor,2,3.5,1.75,2020-01-10,302316,user2,
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-01-10,302316,user2,
lenteja cocida pardina hacendado,2,0.98,0.49,2020-01-10,302316,user2,
piadinas pan estilo italiano hacendado,1,1.95,1.95,2020-01-10,302316,user2,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,user2,
gelatina 0% azúcar sabor fresa hacendado,1,0.98,0.98,2020-01-10,302316,user2,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-01-10,302316,user2,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2020-01-10,302316,user2,
papel higiénico doble rollo bosque verde,2,7.64,3.82,2020-01-10,302316,user2,
atún claro en aceite de oliva hacendado,2,7.98,3.99,2020-01-10,302316,user2,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2020-01-10,302316,user2,
garbanzo cocido hacendado,2,1.4,0.7,2020-01-10,302316,user2,
hogaza 100% natural,1,1.0,1.0,2020-01-10,302316,user2,
agua mineral cortes,2,1.46,0.73,2020-01-10,302316,user2,
leche desnatada pascual,2,10.68,5.34,2020-01-10,302316,user2,
dentífrico original binaca,2,3.0,1.5,2020-01-10,302316,user2,
morcilla oreada d' ontinyent,1,1.34,1.34,2020-01-10,302316,user2,
servilleta papel bosque verde,1,0.92,0.92,2019-02-27,125935,user2,
huevos grandes l,1,1.45,1.45,2019-02-27,125935,user2,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2019-02-27,125935,user2,
cebolla amarilla,1,1.89,1.89,2019-02-27,125935,user2,
ajo morado,1,1.2,1.2,2019-02-27,125935,user2,
desodorante roll-on dermo extra control sanex,1,1.8,1.8,2019-02-27,125935,user2,
espárragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,user2,
yogur bífidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,user2,
lavavajillas ultra original fairy líquido,1,2.8,2.8,2019-02-27,125935,user2,
agua mineral cortes,1,0.73,0.73,2019-02-27,125935,user2,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2019-02-27,125935,user2,
galletas cookies hacendado,1,1.25,1.25,2019-02-27,125935,user2,
tomate cherry,1,1.49,1.49,2019-02-27,125935,user2,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-02-27,125935,user2,
"champú agua de coco fructis raíces grasas, puntas secas",1,2.95,2.95,2019-02-27,125935,user2,
arroz redondo la fallera,1,1.35,1.35,2019-02-27,125935,user2,
plátano,6,2.2,0.3666666666666667,2019-02-27,125935,user2,
dentífrico original binaca,1,1.5,1.5,2019-02-27,125935,user2,
maíz dulce hacendado,1,0.95,0.95,2019-02-27,125935,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2019-02-27,125935,user2,
queso rallado hacendado especial fundir,1,1.0,1.0,2019-02-27,125935,user2,
hogaza 100% natural,1,1.0,1.0,2019-02-27,125935,user2,
café en cápsula sontuoso l'or espresso,2,6.58,3.29,2019-02-27,125935,user2,
chocolate con leche lindt,1,1.15,1.15,2019-02-27,125935,user2,
papel higiénico doble rollo bosque verde,1,3.74,3.74,2019-02-27,125935,user2,
café en cápsula ristretto l'or espresso,3,9.87,3.29,2019-02-27,125935,user2,
lenteja cocida hacendado,2,1.18,0.59,2019-02-27,125935,user2,
garbanzo cocido hacendado,1,0.7,0.7,2019-02-27,125935,user2,
leche desnatada pascual,2,10.68,5.34,2019-02-27,125935,user2,
pan de molde con avena hacendado,1,1.25,1.25,2019-02-27,125935,user2,
queso curado entrepinares,1,2.66,2.66,2019-02-27,125935,user2,
queso havarti light hacendado lonchas,1,2.56,2.56,2019-02-27,125935,user2,
morcilla oreada d' ontinyent,1,1.48,1.48,2019-02-27,125935,user2,
longaniza fresca d' ontinyent,1,3.06,3.06,2019-02-27,125935,user2,
placas para canelones del castillo,1,0.58,0.58,2019-02-27,125935,user2,
pañuelos de papel extra suaves bosque verde,1,1.05,1.05,2019-02-27,125935,user2,
agua mineral bronchales grande,1,2.46,2.46,2019-02-27,125935,user2,
mozzarella fresca hacendado,2,1.6,0.8,2019-02-27,125935,user2,
pizza ibérica hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,user2,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,user2,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,user2,
espárrago verde entero jv ultracongelado,1,2.6,2.6,2019-02-27,125935,user2,
yogur natural edulcorado hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-02-27,125935,user2,
verdura floretas de brócoli para micro,1,1.2,1.2,2019-02-27,125935,user2,
pizza masa fina jamón hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,user2,
anguriñas pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935,user2,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.15,2.15,2019-02-27,125935,user2,
salchichón extra hacendado lonchas,1,1.39,1.39,2019-02-27,125935,user2,
aceitunas negras cacereñas hacendado a rodajas,1,1.5,1.5,2019-02-27,125935,user2,
atún claro en aceite de oliva hacendado,1,3.99,3.99,2019-02-27,125935,user2,
patatas,1,3.85,3.85,2020-10-22,404271,user2,
zanahorias,1,0.69,0.69,2020-10-22,404271,user2,
corazones de alcachofa hacendado,1,2.3,2.3,2020-10-22,404271,user2,
huevos grandes l,1,1.45,1.45,2020-10-22,404271,user2,
plátano,6,1.94,0.3233333333333333,2020-10-22,404271,user2,
champú anticaspa h&s cabello graso,1,2.99,2.99,2020-10-22,404271,user2,
servilleta papel bosque verde,1,0.9,0.9,2020-10-22,404271,user2,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-10-22,404271,user2,
lavavajillas todo en 1 fairy en pastillas,1,4.5,4.5,2020-10-22,404271,user2,
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-10-22,404271,user2,
dentífrico triple acción colgate con flúor,2,3.5,1.75,2020-10-22,404271,user2,
lenteja cocida pardina hacendado,2,0.98,0.49,2020-10-22,404271,user2,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-10-22,404271,user2,
gelatina 0% azúcar sabor fresa hacendado,1,0.98,0.98,2020-10-22,404271,user2,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-10-22,404271,user2,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271,user2,
papel higiénico doble rollo bosque verde,1,3.82,3.82,2020-10-22,404271,user2,
hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635,user2,
dentífrico blanqueador sensation colgate,2,4.1,2.05,2020-10-01,466635,user2,
jamón cocido extra hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,user2,
lenteja cocida hacendado,2,1.18,0.59,2020-10-01,466635,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2020-10-01,466635,user2,
huevos grandes l,1,1.45,1.45,2020-10-01,466635,user2,
gazpacho fresco hacendado,1,2.69,2.69,2020-10-01,466635,user2,
garbanzo cocido hacendado,2,1.4,0.7,2020-10-01,466635,user2,
servilleta papel bosque verde,1,0.92,0.92,2020-10-01,466635,user2,
patatas,1,3.95,3.95,2020-10-01,466635,user2,
cebollas,1,1.3,1.3,2020-10-01,466635,user2,
agua mineral cortes,2,1.46,0.73,2020-10-01,466635,user2,
perfilador de cejas definidor deliplus 01,1,3.95,3.95,2018-04-12,73955,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2018-04-12,73955,user2,
café molido natural hacendado,1,1.05,1.05,2018-04-12,73955,user2,
arroz redondo la fallera,1,1.35,1.35,2018-04-12,73955,user2,
papel higiénico húmedo wc bosque verde,1,1.74,1.74,2018-04-12,73955,user2,
servilleta papel suavidad y absorción bosque verde,1,0.99,0.99,2018-04-12,73955,user2,
plátano,4,1.82,0.455,2018-04-12,73955,user2,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2018-04-12,73955,user2,
protegeslip normal deliplus,1,1.95,1.95,2018-04-12,73955,user2,
aceite de oliva virgen hacendado,1,9.3,9.3,2018-04-12,73955,user2,
huevos grandes l,1,1.45,1.45,2018-04-12,73955,user2,
yogur bífidus desnatado hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955,user2,
yogur natural azucarado hacendado,1,1.44,1.44,2018-04-12,73955,user2,
azúcar moreno de caña integral acor,1,1.87,1.87,2018-04-12,73955,user2,
fregasuelos pino bosque verde líquido,1,0.68,0.68,2018-04-12,73955,user2,
ajo morado,1,1.75,1.75,2018-04-12,73955,user2,
cebolla amarilla,1,1.29,1.29,2018-04-12,73955,user2,
pan de molde con avena hacendado,1,1.25,1.25,2018-04-12,73955,user2,
espárragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955,user2,
alubia cocida blanca hacendado,2,1.18,0.59,2018-04-12,73955,user2,
agua mineral cortes,1,0.73,0.73,2018-04-12,73955,user2,
garbanzo cocido hacendado,2,1.4,0.7,2018-04-12,73955,user2,
maíz dulce hacendado,1,0.95,0.95,2018-04-12,73955,user2,
café en cápsula sontuoso l'or espresso,2,6.58,3.29,2018-04-12,73955,user2,
arroz cocido integral brillante,1,1.1,1.1,2018-04-12,73955,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2018-04-12,73955,user2,
chocolate con leche lindt,1,1.15,1.15,2018-04-12,73955,user2,
leche desnatada pascual,1,5.34,5.34,2018-04-12,73955,user2,
papel higiénico doble rollo bosque verde,1,3.74,3.74,2018-04-12,73955,user2,
jamón serrano incarlopsa lonchas extra finas,1,1.99,1.99,2018-04-12,73955,user2,
queso rallado entrepinares,2,2.0,1.0,2018-04-12,73955,user2,
lenteja cocida hacendado,2,1.18,0.59,2018-04-12,73955,user2,
hogaza 100% natural,1,1.0,1.0,2018-04-12,73955,user2,
café en cápsula ristretto l'or espresso,3,9.87,3.29,2018-04-12,73955,user2,
albóndigas de carne tenedor plata ultracongeladas,1,1.6,1.6,2018-04-12,73955,user2,
morcilla oreada d' ontinyent,1,1.39,1.39,2018-04-12,73955,user2,
azúcar moreno de caña integral acor,1,1.87,1.87,2019-05-22,185199,user2,
spaghetti hacendado,2,1.5,0.75,2019-05-22,185199,user2,
albaricoque,1,0.21,0.21,2019-05-22,185199,user2,
salmón marinado ubago,1,2.35,2.35,2019-05-22,185199,user2,
tomate frito hacendado,1,0.8,0.8,2019-05-22,185199,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2019-05-22,185199,user2,
salchichón extra hacendado lonchas,1,1.39,1.39,2019-05-22,185199,user2,
mozzarella fresca hacendado,2,1.6,0.8,2019-05-22,185199,user2,
arroz cocido integral brillante,1,1.1,1.1,2019-05-22,185199,user2,
lavavajillas ultra original fairy líquido,1,2.8,2.8,2019-05-22,185199,user2,
anguriñas pescanova ultracongeladas,1,2.19,2.19,2019-05-22,185199,user2,
"champú agua de coco fructis raíces grasas, puntas secas",1,2.95,2.95,2019-05-22,185199,user2,
chocolate con leche lindt,1,1.25,1.25,2019-05-22,185199,user2,
yogur bífidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-05-22,185199,user2,
plátano,5,1.77,0.354,2019-05-22,185199,user2,
níspero,1,1.56,1.56,2019-05-22,185199,user2,
queso havarti light hacendado lonchas,1,2.48,2.48,2019-05-22,185199,user2,
paraguayo,4,0.73,0.1825,2019-05-09,278125,user2,
melocotón amarillo,5,1.51,0.302,2019-05-09,278125,user2,
tempura 7 verduras hacendado ultracongelada,1,1.85,1.85,2019-05-09,278125,user2,
salmorejo fresco hacendado,1,2.96,2.96,2019-05-09,278125,user2,
ensalada poke salmón,1,3.85,3.85,2019-05-09,278125,user2,
queso en dados feta hacendado,1,1.7,1.7,2019-05-09,278125,user2,
gazpacho fresco hacendado,1,2.69,2.69,2019-05-09,278125,user2,
lavavajillas todo en 1 bosque verde en pastillas,1,2.7,2.7,2019-05-09,278125,user2,
guantes de látex rubberex talla pequeña,1,0.7,0.7,2019-05-09,278125,user2,
placas para canelones del castillo,1,0.58,0.58,2019-05-09,278125,user2,
spaghetti hacendado,2,1.5,0.75,2019-05-09,278125,user2,
champú anticaspa h&s cabello graso,1,2.99,2.99,2020-06-07,935378,user2,
judía verde plana,1,2.49,2.49,2020-06-07,935378,user2,
dentífrico original binaca,2,3.0,1.5,2020-06-07,935378,user2,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-06-07,935378,user2,
hogaza 100% natural,1,1.0,1.0,2020-06-07,935378,user2,
"pan con semillas 4,5% rebanado",1,1.5,1.5,2020-06-07,935378,user2,
mascarillas higiénicas no reutilizables deliplus,1,6.0,6.0,2020-06-07,935378,user2,
servilleta papel cocktail color bosque verde,2,2.6,1.3,2019-06-20,208575,user2,
pimentón dulce hacendado,1,0.9,0.9,2019-06-20,208575,user2,
tomate troceado pelado hacendado,3,1.86,0.62,2019-06-20,208575,user2,
cebolla,1,1.3,1.3,2019-06-20,208575,user2,
ajo morado,1,1.2,1.2,2019-06-20,208575,user2,
aceite de oliva virgen extra hacendado,1,3.69,3.69,2019-06-20,208575,user2,
aceitunas rellenas de anchoa hacendado,1,3.1,3.1,2019-06-20,208575,user2,
almendra frita marcona hacendado,1,3.8,3.8,2019-06-20,208575,user2,
guacamole,3,9.87,3.29,2019-06-20,208575,user2,
tabla de quesos nacionales,4,15.0,3.75,2019-06-20,208575,user2,
vino blanco semidulce l'antigón d.o valencia,5,7.45,1.49,2019-06-20,208575,user2,
refresco coca-cola zero azúcar,1,2.72,2.72,2019-06-20,208575,user2,
refresco coca-cola,2,5.44,2.72,2019-06-20,208575,user2,
refresco fanta naranja,2,2.58,1.29,2019-06-20,208575,user2,
refresco fanta limón,8,10.56,1.32,2019-06-20,208575,user2,
tónica nordic mist,6,18.72,3.12,2019-06-20,208575,user2,
vodka absolut,2,23.9,11.95,2019-06-20,208575,user2,
ron dominicano añejo superior brugal,3,40.95,13.65,2019-06-20,208575,user2,
cerveza clásica steinburg,12,36.0,3.0,2019-06-20,208575,user2,
gelatina sabor fresa hacendado,1,0.85,0.85,2022-07-13,996926,user2,
patatas,1,4.4,4.4,2022-07-13,996926,user2,
refresco coca-cola zero azúcar,1,8.4,8.4,2022-07-13,996926,user2,
cerveza tostada turia,1,6.0,6.0,2022-07-13,996926,user2,
jamón cocido extra hacendado finas lonchas,1,3.17,3.17,2022-07-13,996926,user2,
pechuga de pavo bajo en sal hacendado finas lonchas,1,3.19,3.19,2022-07-13,996926,user2,
trampa antipolillas de los alimentos bosque verde,1,2.0,2.0,2022-07-13,996926,user2,
estropajo suciedad resistente bosque verde,1,0.85,0.85,2022-07-13,996926,user2,
lavavajillas ultra original fairy líquido,1,3.25,3.25,2022-07-13,996926,user2,
limpiador cal y suciedad cillit bang,1,3.9,3.9,2022-07-13,996926,user2,
mejillones en escabeche hacendado medianos,2,3.5,1.75,2022-07-13,996926,user2,
maíz dulce hacendado,1,1.25,1.25,2022-07-13,996926,user2,
salsa fresca roquefort hacendado,1,1.3,1.3,2022-07-13,996926,user2,
tomate frito receta artesana hacendado,1,1.85,1.85,2022-07-13,996926,user2,
fregona microfibra absorbente bosque verde,1,2.95,2.95,2020-11-18,546427,user2,
quitagrasas kh-7,1,2.69,2.69,2020-11-18,546427,user2,
lavavajillas ultra original fairy líquido,1,2.8,2.8,2020-11-18,546427,user2,
salmón marinado ubago,1,2.35,2.35,2020-11-18,546427,user2,
corazones de alcachofa hacendado,1,2.3,2.3,2020-11-18,546427,user2,
queso emmental natual,1,2.15,2.15,2020-11-18,546427,user2,
queso havarti light hacendado lonchas,1,2.58,2.58,2020-11-18,546427,user2,
jamón cocido extra hacendado finas lonchas,1,2.99,2.99,2020-11-18,546427,user2,
salmón marinado ubago,1,2.35,2.35,2019-01-31,107492,user2,
mozzarella fresca hacendado,2,1.6,0.8,2019-01-31,107492,user2,
anguriñas pescanova ultracongeladas,1,1.99,1.99,2019-01-31,107492,user2,
espárrago verde entero jv ultracongelado,1,2.6,2.6,2019-01-31,107492,user2,
porciones de merluza del cabo mascato ultracongeladas,1,3.8,3.8,2019-01-31,107492,user2,
verdura floretas de brócoli para micro,1,1.2,1.2,2019-01-31,107492,user2,
limpiador muebles jabonoso bosque verde para madera tratada,1,1.45,1.45,2019-01-31,107492,user2,
limpiador antical bosque verde,1,1.6,1.6,2019-01-31,107492,user2,
pizza masa fina jamón hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,user2,
pizza ibérica hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,user2,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,user2,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,user2,
atún claro en aceite de oliva hacendado,2,7.98,3.99,2019-01-31,107492,user2,
yogur natural hacendado 0% materia grasa 0% sin azúcares,1,0.77,0.77,2019-01-31,107492,user2,
yogur natural edulcorado hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-01-31,107492,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2019-01-31,107492,user2,
huevos grandes l,1,1.45,1.45,2019-01-31,107492,user2,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2019-01-31,107492,user2,
café en cápsula sontuoso l'or espresso,2,6.58,3.29,2019-01-31,107492,user2,
café en cápsula ristretto l'or espresso,3,9.87,3.29,2019-01-31,107492,user2,
arroz cocido integral brillante,1,1.1,1.1,2019-01-31,107492,user2,
agua mineral bronchales grande,1,2.4,2.4,2019-01-31,107492,user2,
papel higiénico doble rollo bosque verde,1,3.74,3.74,2019-01-31,107492,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2019-01-31,107492,user2,
queso rallado entrepinares,1,1.0,1.0,2019-01-31,107492,user2,
garbanzo cocido hacendado,1,0.7,0.7,2019-01-31,107492,user2,
maíz dulce hacendado,2,1.9,0.95,2019-01-31,107492,user2,
hogaza 100% natural,1,1.0,1.0,2019-01-31,107492,user2,
longaniza fresca d' ontinyent,1,2.56,2.56,2019-01-31,107492,user2,
morcilla oreada d' ontinyent,1,1.36,1.36,2019-01-31,107492,user2,
queso havarti light hacendado lonchas,1,2.58,2.58,2019-01-31,107492,user2,
queso curado entrepinares,1,3.14,3.14,2019-01-31,107492,user2,
agua mineral grande cortes,2,1.46,0.73,2022-09-28,470822,user2,
papel higiénico doble rollo bosque verde,1,4.75,4.75,2022-09-28,470822,user2,
servilleta papel bosque verde,1,1.3,1.3,2022-09-28,470822,user2,
garbanzo cocido hacendado,2,1.5,0.75,2022-09-28,470822,user2,
pechugas enteras de pollo,1,4.73,4.73,2022-09-28,470822,user2,
queso tierno mezcla hacendado,1,2.71,2.71,2022-09-28,470822,user2,
longaniza fresca d'ontinyent,1,2.92,2.92,2022-09-28,470822,user2,
filetes pechuga de pollo corte fino,1,4.64,4.64,2022-09-28,470822,user2,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.25,2.25,2022-09-28,470822,user2,
corazones de alcachofa hacendado,2,5.6,2.8,2022-09-28,470822,user2,
refresco coca-cola zero azúcar,1,9.36,9.36,2022-09-28,470822,user2,
cerveza tostada turia,1,6.0,6.0,2022-09-28,470822,user2,
jamón cocido extra hacendado finas lonchas,1,3.09,3.09,2022-09-28,470822,user2,
pechuga de pavo bajo en sal hacendado finas lonchas,1,3.15,3.15,2022-09-28,470822,user2,
trampa antipolillas de los alimentos bosque verde,1,2.0,2.0,2022-09-28,470822,user2,
estropajo suciedad resistente bosque verde,1,0.85,0.85,2022-09-28,470822,user2,
mejillones en escabeche hacendado medianos,2,4.0,2.0,2022-09-28,470822,user2,
maíz dulce hacendado,1,1.2,1.2,2022-09-28,470822,user2,
